FCG J091707.8+550903   09 17 08.204  +55 09 04.53   0.99    v  09 17 07.857 +55 09 03.90 139712                      wat
FCG J091738.6+024521   09 17 39.170  +02 45 23.67   0.43    v  09 17 38.630 +02 45 21.73 140326                      wat
FCG J091856.7+302107   09 18 57.477  +30 21 16.26   0.46    v  09 18 56.785 +30 21 07.79 141731                      nat ring?
FCG J091859.3+315140   09 18 59.989  +31 51 49.57   2.66    c  09 18 59.397 +31 51 40.86 141793                      nat/wat int mg
FCG J091944.7+360947   09 19 44.997  +36 09 44.18   1.98    v  09 19 44.737 +36 09 47.31 142674                      wat
FCG J092137.8-005857   09 21 37.809  -00 58 59.18   0.30    c  09 21 37.820 -00 58 57.17 144805                      wat/nat, three component group adjacent to Group 144734
FCG J092338.7+570558   09 23 38.815  +57 06 05.42   0.69    c  09 23 38.747 +57 05 58.32 146920                      wat
FCG J092428.8+141409   09 24 29.326  +14 14 04.81   0.80    c  09 24 28.875 +14 14 09.32 147889                      nat
FCG J092539.0+362705   09 25 38.928  +36 27 19.49   2.80    c  09 25 39.058 +36 27 05.32 149151                      wat w
FCG J092645.3+030916   09 26 45.094  +03 09 27.22   0.75    v  09 26 45.393 +03 09 16.01 150327                      wat
FCG J092703.7+542343   09 27 02.990  +54 23 51.86   0.67    v? 09 27 03.790 +54 23 43.16 150690                      nat
FCG J093048.6+642237   09 30 49.261  +64 22 37.01   0.42    c  09 30 48.630 +64 22 37.64 154876                      wat
FCG J093158.9+201242   09 31 59.442  +20 12 45.77   0.24    c  09 31 58.920 +20 12 42.34 156278                      nat ring tri? int
FCG J093349.9+451956   09 33 49.887  +45 19 58.92   1.39    v  09 33 49.985 +45 19 56.04 158214                      wat
FCG J093522.7+112455   09 35 23.264  +11 24 58.77   0.43    c  09 35 22.764 +11 24 55.54 159882                      nat tri? int distorted mg
FCG J093524.9+235505   09 35 23.479  +23 55 05.03   0.62    v  09 35 24.925 +23 55 05.78 159913                      nat dd?
FCG J093616.5-045535   09 36 16.437  -04 55 35.39   1.24    v  09 36 16.550 -04 55 35.99 160852                      nat mg hook? tri? unu
FCG J093919.5+232007   09 39 18.841  +23 20 11.55   0.74    c  09 39 19.553 +23 20 07.22 164301                      wat
FCG J093921.6+231938   09 39 20.895  +23 19 41.67   0.48    c  09 39 21.631 +23 19 38.81 164301                      wat
FCG J094332.4-050736   09 43 34.199  -05 07 38.68   0.90    c  09 43 32.403 -05 07 36.61 168970                      nat
FCG J094443.2+024754   09 44 43.826  +02 48 00.05   2.02    v  09 44 43.208 +02 47 54.23 170201                      wat, cat missed core?
FCG J094455.2-061603   09 44 55.016  -06 16 08.64   0.50    c  09 44 55.205 -06 16 03.00 170456                      nat
FCG J094702.1+340303   09 47 02.407  +34 03 11.75   1.31    c  09 47 02.184 +34 03 03.80 172889                      wat
FCG J094707.5+004417   09 47 07.182  +00 44 09.19   0.65    c  09 47 07.515 +00 44 17.15 172999                      nat w?
FCG J094715.5+525055   09 47 15.887  +52 51 05.20   0.55    v  09 47 15.542 +52 50 55.74 173140                      wat
FCG J094841.7+421817   09 48 41.608  +42 18 29.66   0.95    c? 09 48 41.752 +42 18 17.02 174693                      nat/wat dd unu
FCG J095007.0+434400   09 50 07.371  +43 44 00.42   0.62    v  09 50 07.054 +43 44 00.27 176324                      wat
FCG J095102.5+102211   09 51 02.369  +10 22 16.65   0.87    v  09 51 02.521 +10 22 11.17 177307                      wat
FCG J095113.2+180143   09 51 14.020  +18 01 55.52   0.91    v  09 51 13.289 +18 01 43.01 177468                      nat cat missed core?
FCG J095252.4-044958   09 52 53.408  -04 49 52.70   0.76    v  09 52 52.415 -04 49 58.03 179369                      nat w?
FCG J095327.8+292420   09 53 28.134  +29 24 36.62   0.90    v  09 53 27.832 +29 24 20.51 179987                      wat
FCG J095438.0+575350   09 54 38.625  +57 53 31.09   1.33    c  09 54 38.009 +57 53 50.75 181292                      nat/wat
FCG J095539.2+013549   09 55 39.331  +01 35 31.34   0.68    v  09 55 39.279 +01 35 49.42 182451                      nat
FCG J095603.5+233810   09 56 03.235  +23 38 10.83   0.60    v  09 56 03.547 +23 38 10.41 182868                      wat
FCG J095641.7+183548   09 56 41.769  +18 35 42.21   0.73    c  09 56 41.782 +18 35 48.28 183563                      wat
FCG J095700.6-064423   09 57 00.599  -06 44 08.64   2.55    v  09 57 00.654 -06 44 23.60 183849                      wat
FCG J095716.4+190651   09 57 15.641  +19 06 44.27   2.23    c  09 57 16.416 +19 06 51.15 184155                      wat/nat
FCG J095759.3+032725   09 57 59.557  +03 27 17.25   1.07    v  09 57 59.363 +03 27 25.54 184997                      nat
FCG J095759.7+191607   09 58 00.189  +19 16 11.14   1.50    v  09 57 59.784 +19 16 07.21 184970                      wat
FCG J095952.1+244757   09 59 52.145  +24 47 53.11   0.54    v  09 59 52.121 +24 47 57.52 187105                      nat
FCG J100044.5+204726   10 00 43.672  +20 47 12.91   0.65    c  10 00 44.541 +20 47 26.48 188081                      nat ring
FCG J100328.5-043809   10 03 27.896  -04 38 09.26   0.94    c  10 03 28.502 -04 38 09.48 191177                      wat/nat x?
FCG J100515.8+221048   10 05 15.343  +22 10 42.55   0.38    c? 10 05 15.826 +22 10 48.17 193198                      nat
FCG J100515.8+231500   10 05 15.890  +23 15 03.89   1.00    v  10 05 15.890 +23 15 00.75 193187                      mg wat
FCG J100756.0+155003   10 07 55.636  +15 50 07.88   0.87    c  10 07 56.000 +15 50 03.58 196130                      wat mg unu
FCG J100836.7+281301   10 08 36.777  +28 13 01.83   0.72    c  10 08 36.709 +28 13 01.67 196938                      wat/nat w?
FCG J100943.4+033721   10 09 43.343  +03 37 14.30   1.65    v  10 09 43.484 +03 37 21.39 198198                      wat dd?
FCG J101207.3+084133   10 12 05.985  +08 41 44.51   1.37    v? 10 12 07.363 +08 41 33.50 200897                      wat
FCG J101220.0+363927   10 12 20.152  +36 39 35.87   0.57    v  10 12 20.020 +36 39 27.23 201210                      wat
