FCG J154028.9+492501   15 40 28.917  +49 25 01.33   1.59                                 563938                      w? sz?
FCG J154048.7+013205   15 40 48.795  +01 32 05.83   1.54                                 564252                      sz?
FCG J154057.2+634417   15 40 57.210  +63 44 17.40   1.16                                 564408                      sz dl
FCG J154517.2+504751   15 45 17.286  +50 47 51.99   1.09                                 569091                      
FCG J154537.3-033044   15 45 37.360  -03 30 44.81   0.97                                 569508                      td?
FCG J154635.7+084424   15 46 35.700  +08 44 24.08   0.81                                 570586                      sz?
FCG J154709.5-004638   15 47 09.583  -00 46 38.05   0.85                                 571217                      wat
FCG J154806.4+363346   15 48 06.499  +36 33 46.41   1.37                                 572196                      sz? wat?
FCG J155005.0+224603   15 50 05.042  +22 46 03.03   1.07                                 574298                      sz
FCG J155116.8+265426   15 51 16.867  +26 54 26.67   1.36                                 575514                      sz?
FCG J155402.0+323332   15 54 02.090  +32 33 32.21   0.95                                 578317                      mg sz int
FCG J155749.8+161834   15 57 49.817  +16 18 34.93   0.46                                 582182                      
FCG J155834.5+075954   15 58 34.528  +07 59 54.13   2.76                                 583021                      w
FCG J160058.7+130652   16 00 58.793  +13 06 52.66   0.84                                 585490                      sz?
FCG J160130.3+342311   16 01 30.355  +34 23 11.26   1.08                                 585949                      sz? b?
FCG J160424.7+270314   16 04 24.733  +27 03 14.91   0.95                                 588871                      
FCG J160513.7+071138   16 05 13.734  +07 11 38.95   2.71                                 589736                      int
FCG J160719.1+062544   16 07 19.193  +06 25 44.53   1.53                                 591790                      x
FCG J160821.2+282843   16 08 21.221  +28 28 43.25   1.30                                 592824                      sz
FCG J161115.0+101712   16 11 15.032  +10 17 12.05   0.70                                 595656                      ring-lobe
FCG J161310.0+292925   16 13 10.089  +29 29 25.13   0.40                                 597475                      sz
FCG J161321.0+520304   16 13 21.023  +52 03 04.21   0.57                                 597665                      sz
FCG J161449.7+321055   16 14 49.710  +32 10 55.31   1.00                                 599007                      sz
FCG J161453.0+024059   16 14 53.065  +02 40 59.95   0.57                                 599072                      sz
FCG J161543.1+124544   16 15 43.161  +12 45 44.89   1.40                                 599861                      sz
FCG J161646.1+280953   16 16 46.110  +28 09 53.25   1.14                                 600809                      td?
FCG J161757.2+545118   16 17 57.295  +54 51 18.11   0.87                                 601930                      sz dl?
FCG J161803.6+121132   16 18 03.657  +12 11 32.77   1.33                                 601989                      sz dl
FCG J161932.0+284102   16 19 32.006  +28 41 02.10   0.72                                 603340                      sz? arc?
FCG J162022.0+201700   16 20 22.068  +20 17 00.61   0.54                                 604094                      
FCG J162359.7+431838   16 23 59.757  +43 18 38.19   0.92                                 607376                      nat? dl?
FCG J162724.9+501943   16 27 24.961  +50 19 43.32   0.69                                 610556                      sz?
FCG J162754.5+290620   16 27 54.538  +29 06 20.94   1.63                                 610985                      td x?, estimated core at (J2000) 16 27 54.658  +29 06 20.93
FCG J162812.0+390626   16 28 12.040  +39 06 26.21   2.23                                 611178                      nat? dl
FCG J162857.5+575044   16 28 57.577  +57 50 44.97   0.52                                 611874                      rc
FCG J163104.8+185525   16 31 04.886  +18 55 25.81   0.94                                 613681                      sz?
FCG J163301.0+084729   16 33 01.093  +08 47 29.36   1.13                                 615324                      mg unu
