index,SDSS1,Plate1,Fiber1,MJD1,z1,sep1,rp1,dV1,rmag1,FAGN1,FTid1,RA1,Dec1,GroupID,GroupNum1,ComponentID1,SDSS2,Plate2,Fiber2,MJD2,z2,sep2,rp2,dV2,rmag2,FAGN2,FTid2,RA2,Dec2,GroupNum2,ComponentID2,Sep,Sep(kpc),ratio,dV_rwp,z1_type,z2_type,Paper(s),BibCode(s),DOI(s),rat
33,J010847.30+001155.2,397,391,51794,0.0508,57.1,56.7,24,15.91,2,0,01:08:47.30,+00:11:55.2,653,2,1,J010850.35+001229.3,397,394,51794,0.0507,57.1,56.7,24,17.26,1,0,01:08:50.35,+00:12:29.3,2,2,57.060022054045476,56.614616946778995,1.22002971545177,28.455864793973408,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,0.9921940950733491
34,J010922.00+142032.3,422,146,51811,0.0384,126.8,96.4,245,13.58,1,1,01:09:22.00,+14:20:32.3,1145,2,1,J010928.81+142147.3,422,148,51811,0.0375,126.8,96.4,245,14.15,1,1,01:09:28.81,+14:21:47.3,2,2,124.1709207372492,94.51164005774355,1.22002971545177,259.2609946713618,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,0.7611414934881097
35,J010941.83-004425.6,1082,62,52523,0.0889,9.7,16.0,71,16.67,2,2,01:09:41.83,-00:44:25.6,143,2,1,J010942.19-004417.6,397,259,51794,0.0887,9.7,16.0,71,16.53,2,2,01:09:42.19,-00:44:17.6,2,2,9.651691296878779,16.02827381395481,1.22002971545177,54.9228503816616,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.6606699614541265
36,J010959.03+135815.2,422,95,51811,0.0564,67.3,73.6,539,16.6,1,0,01:09:59.03,+13:58:15.2,819,2,1,J011003.16+135841.2,422,96,51811,0.0583,67.3,73.6,539,14.5,2,0,01:10:03.16,+13:58:41.2,2,2,65.49802814743832,71.67477087916589,1.22002971545177,-537.2861790324353,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.09430425474525
37,J011014.12+002157.3,694,550,52209,0.0451,88.2,77.9,59,16.08,2,0,01:10:14.12,+00:21:57.3,999,2,1,J011017.14+002041.6,397,465,51794,0.0449,88.2,77.9,59,14.97,2,0,01:10:17.14,+00:20:41.6,2,2,88.21848457431992,78.23572369283806,1.22002971545177,57.22487985875379,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,0.8868404855325774
38,J011129.70+153353.7,422,536,51811,0.06,30.9,35.8,433,16.11,2,1,01:11:29.70,+15:33:53.7,401,2,1,J011131.69+153345.6,423,340,51821,0.0615,30.9,35.8,433,17.04,2,1,01:11:31.69,+15:33:45.6,2,2,29.874521581285755,34.63132843671283,1.22002971545177,-422.81383529398875,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.1592262102837112
39,J011202.71-001549.4,397,108,51794,0.0433,73.0,62.2,270,15.63,2,0,01:12:02.71,-00:15:49.4,888,2,1,J011204.62-001442.4,397,111,51794,0.0442,73.0,62.2,270,14.86,1,0,01:12:04.62,-00:14:42.4,2,2,72.86841777165388,62.176411781196215,1.22002971545177,-257.8203113578861,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,0.8532696836651104
40,J011544.85+001400.0,695,514,52202,0.0445,45.0,39.4,394,15.77,1,0,01:15:44.85,+00:14:00.0,540,2,1,J011545.23+001444.6,1080,394,52614,0.0431,45.0,39.4,394,16.43,2,0,01:15:45.23,+00:14:44.6,2,2,44.96275605486664,39.37237373429195,1.22002971545177,401.0345006121156,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,0.8756663778850006
41,J011832.49-001030.0,1499,31,53001,0.0776,60.5,89.1,38,17.86,2,0,01:18:32.49,-00:10:30.0,716,2,1,J011834.47-000937.3,696,307,52209,0.0778,60.5,89.1,38,15.71,2,0,01:18:34.47,-00:09:37.3,2,2,60.49274700530541,88.84587753003885,1.22002971545177,-55.488539932435955,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,1.46870297561866
42,J011832.93+010930.8,695,575,52202,0.0442,45.8,39.9,228,14.56,1,0,01:18:32.93,+01:09:30.8,549,2,1,J011835.90+010919.9,1080,407,52614,0.045,45.8,39.9,228,16.79,0,0,01:18:35.90,+01:09:19.9,2,2,45.85524220414528,39.89742049598873,1.22002971545177,-228.98713854711153,spec,spec,Liu+2011b,2011ApJ...737..101L,https://doi.org/10.1088/0004-637X/737/2/101,0.8700732692320625
