NDWFS J143053.21+345640.0 0.3080  -26.8  40.3 -113.3  51.7  -38.8  66.9  6.85 2.54 0.81 0.37  1.00 2.95 0.44 1.01
NDWFS J143053.69+345836.4 0.0839 -111.7  17.2 -131.7  16.8 -126.2  16.8  3.39 0.10 0.86 0.02  0.33 0.02 0.07 0.01 Seyfert
NDWFS J143055.10+345641.2 0.1286   80.9  13.5   88.4  10.1   64.4  11.5  9.12 0.46 0.49 0.02  0.36 0.06 0.09 0.04
NDWFS J143056.82+342247.5 0.3308   -9.5  31.0   34.3  21.8   42.9  23.1  3.45 0.44 0.48 0.13  1.62 0.23 0.03 0.05
NDWFS J143101.54+332341.2 0.3512   12.6  21.4  -44.4  29.9    1.9  15.7  1.92 0.31 0.92 0.20  0.00 0.01 0.10 0.09
NDWFS J143103.95+332702.4 0.2484  -57.6  19.8  -45.3  17.3  -60.8  13.7  4.69 0.65 0.88 0.05  0.49 0.19 0.01 0.01
NDWFS J143111.37+325352.9 0.2722  140.5 114.8  -48.2  30.6   18.4 106.2  3.37 0.62 1.14 0.20  0.18 0.12 0.13 0.11
NDWFS J143117.04+325738.5 0.3191   -5.9  59.4  -47.4  24.1  -48.3  37.2  5.38 0.88 0.81 0.11  1.89 0.24 0.04 0.03
NDWFS J143121.55+343514.6 0.1215   65.2  34.3  130.2  16.4  -13.6  17.1  4.10 0.38 0.83 0.03  0.52 0.21 0.08 0.08
NDWFS J143121.88+344046.3 0.3476    7.4  58.1 -161.2  23.0   12.5  60.4  6.98 1.88 2.13 1.15  0.18 0.68 2.13 1.97
NDWFS J143125.78+341550.4 0.1796  -31.1  55.0   -9.6  16.5   -7.1  19.2 10.18 3.72 0.45 0.08  0.40 0.31 0.07 0.08
NDWFS J143128.71+344711.8 0.2816    4.3  20.5  -54.4  12.1  -17.3  15.2  6.75 0.60 0.59 0.04  0.60 0.18 0.05 0.05
NDWFS J143131.12+342722.5 0.1881  -13.7  27.4  -18.1  19.2  -58.1  16.7  3.68 0.32 1.13 0.05  1.02 0.19 0.40 0.08
