153848.47+101843.3 0.2343 1725 364 54266   270  47   206
153850.81+132523.1 0.4021 2517 313 54567  -443  89  -476
154341.64+385319.3 0.4322 1680 137 53171   872 270   942
154644.19+302611.0 0.5368 1390 363 53142   677 109   768
154833.02+442226.0 0.3215 1333 101 52782  -384  30  -385
155018.55+570758.0 0.3557 0617 606 52072   242  77   474
155221.70+220454.7 0.4302 2171 400 53557   507 165   522
155355.19+065157.4 0.7385 1727 099 53859  1234 360  1258
155742.23+105615.6 0.5090 2523 438 54572  -292  94  -420
160049.74+165853.3 0.4540 2199 202 53556  -445  99  -345
160244.48+022142.7 0.3460 0595 015 52023   805 180   861
160312.97+295905.0 0.5585 1578 455 53496   704 180   582
160401.74+000657.6 0.3820 0345 358 51690  2321 139  1515
160421.72+474354.0 0.5380 0813 531 52354  -207  30  -260
160433.16+164638.9 0.3676 2199 044 53556   393  96   484
160742.94+432816.4 0.5972 1170 461 52756  -511  31  -317
160951.75+401252.3 0.4594 1336 385 52759   470  91   487
161204.77+273503.1 0.3310 1577 169 53495   444 130   441
161351.68+172014.0 0.2437 2201 366 53904  -331  32  -255
161737.59+480500.0 0.7286 0624 397 52377   424 115   433
161855.22+311030.6 0.4463 1420 514 53146   538 178   563
162318.32+071230.5 0.4104 1732 072 53501  -297  60  -188
162320.78+383233.9 0.7510 1337 602 52767  -739 125  -714
163012.44+163029.1 0.5360 2207 263 53558  -773 151  -714
163014.16+173425.9 0.4376 2207 439 53558   566 120   560
163020.78+375656.4 0.3946 1173 273 52790   103 362  1357
163329.44+131327.0 0.3360 2204 223 53877  -434  59  -185
163415.42+175611.4 0.5070 2207 564 53558  1050 250  1472
163620.38+475838.3 0.2361 0627 596 52144   456 120   570
164147.54+393503.3 0.5393 0817 031 52381   797 150   838
164809.20+244907.8 0.3715 1414 530 53135   417  92   498
165219.47+290319.1 0.2079 1690 562 53475   771 135   435
165848.22+261127.9 0.5075 1693 449 53446   367  96   351
165904.16+623012.3 0.2807 0351 363 51780  -465 120  -423
170232.50+352618.3 0.5393 0972 562 52435  -351  30  -194
170237.68+373933.0 0.6209 2971 326 54590   295  68   363
170441.38+604430.5 0.3722 0353 377 51703  -400  59   897
171528.14+542509.0 0.2503 0367 295 51997   445 135   488
204340.03+002853.4 0.3166 0981 575 52435   148  39   215
205201.61+000051.5 0.5349 0983 431 52443   910 233   931
211234.88-005926.8 0.2351 0986 274 52443   449 119   470
212049.08-065757.9 0.2661 0640 357 52178  -295  64  -267
212936.97-072431.8 0.4317 0640 074 52178   925 291   968
213040.15-082159.9 0.2667 0641 264 52199  -394  90  -351
