154 J104148.04+401721.6 53035 1433 424 0.069440 16.67  -89.5 39.95 type I asym-NEL AGN
155 J105302.67+055631.8 52670 1001  49 0.132230 16.64   53.3 40.95 type I asym-NEL AGN
156 J105740.70-010953.3 51908  277 294 0.108490 16.62 -128.1 40.74 type I asym-NEL AGN
157 J105916.68+545344.1 52373  907  60 0.220300 17.73  -94.1 41.59 type I asym-NEL AGN
158 J110033.49+495119.7 52353  877 246 0.134500 16.81   43.5 40.84 type I asym-NEL AGN
159 J110126.79+505227.2 52353  877 473 0.068540 15.34 -469.6 39.85 type I asym-NEL AGN
160 J110621.96+035747.1 52356  581 211 0.242440 17.66  -86.2 42.01 type I asym-NEL AGN
161 J111237.43+120729.5 53078 1604 516 0.046780 15.16 -560.0 39.27 type I asym-NEL AGN
162 J111907.03+600430.7 52398  951 410 0.264450 17.48 -246.6 41.71 type I asym-NEL AGN
163 J112203.57+530340.9 52707 1013 124 0.141890 17.49  -22.4 40.69 type I asym-NEL AGN
164 J112329.87+092655.3 52763 1222  39 0.081910 15.96  221.4 40.54 type I asym-NEL AGN
165 J112559.38+192724.6 54169 2498 197 0.300060 17.56  243.6 41.33 type I asym-NEL AGN
166 J113541.24+592748.3 52409  952 591 0.174270 16.98   65.4 41.34 type I asym-NEL AGN
167 J113634.50+152448.2 53386 1755 433 0.111220 16.51   90.2 41.15 type I asym-NEL AGN
168 J113925.69+101408.7 52765 1224 491 0.161810 17.65   -5.2 40.82 type I asym-NEL AGN
169 J113952.79+540516.2 52707 1014  65 0.074650 16.70   14.1 40.49 type I asym-NEL AGN
170 J114056.88+091852.6 52760 1225 257 0.192200 17.30  -13.2 41.24 type I asym-NEL AGN
171 J114132.99-030231.7 52282  328 179 0.124340 16.84   -3.1 41.45 type I asym-NEL AGN
172 J114326.73-025306.3 52056  329 276 0.115900 16.33 -120.2 40.93 type I asym-NEL AGN
173 J114740.08+334720.5 53491 2097 515 0.030960 14.33 -187.7 40.59 type I asym-NEL AGN
174 J115714.14+031640.0 52017  516 344 0.077290 15.67   82.8 40.72 type I asym-NEL AGN
175 J115852.60+423413.2 53120 1447 599 0.031410 13.87   79.4 41.15 type I asym-NEL AGN
