  1 J090012.70+183439.2 53729 2283 160 0.08118 16.97 J090012.30+183436.8 53700 2285 316 0.08040 17.17 normal galaxy
165 J091926.62+200952.4 53699 2288  73 0.15169 18.24
166 J092503.81+041840.6 52707  991  41 0.12590 17.91
167 J093327.06+261631.2 54524 2294 453 0.07178 17.22
168 J093938.26+042621.6 52266  570 333 0.11801 15.81
169 J094256.78+380945.0 53035 1276 494 0.15205 17.34
170 J095234.90+001459.8 51633  268 355 0.08146 16.35 J095235.13+001456.6 51608  267 493 0.08185 18.71 normal galaxy
171 J100721.10+283714.6 53757 2345 607 0.14750 17.36
172 J101000.83+544020.0 52652  945 114 0.04619 14.60
173 J101004.68+002116.4 51909  270 464 0.09015 17.81
174 J102056.71+481144.8 52338  874 298 0.12027 17.60
175 J102835.82+385828.4 53002 1430 222 0.17575 17.40
176 J103724.03+344527.9 53446 2096  99 0.14581 16.82
177 J110023.43+624051.9 54498 2882  52 0.13457 16.93
178 J110434.07+165015.4 53852 2487 632 0.17425 17.24
179 J110821.55+223941.3 53857 2489 130 0.13888 16.12
180 J113007.64+284312.6 53794 2217 102 0.19015 17.32
181 J114208.18+552525.0 52734 1015 616 0.13499 16.05
182 J115949.06+605826.0 52405  954 327 0.21627 17.48
183 J120508.31+144311.1 53467 1764 193 0.07378 15.33
184 J121005.95+002640.4 51999  286 631 0.12801 16.85
185 J121148.70+662517.4 51957  493 123 0.23770 16.11
186 J124234.09-025214.8 51999  336 268 0.18283 17.56
187 J124527.23+033147.6 52024  522 401 0.13444 17.46 J124527.06+033149.8 52426  847 250 0.13442 17.36 normal galaxy
188 J134116.99+373442.7 53858 2101 409 0.08371 15.88
189 J134414.71+312428.8 53503 2024 246 0.14233 17.02
190 J140517.25+531910.6 53088 1324 216 0.08095 15.84
191 J140757.02+321249.2 53795 2125 338 0.08670 16.72
192 J141224.86+382756.0 53084 1380 275 0.11614 16.29
193 J144738.00+062606.5 54560 1830 345 0.17345 17.46
194 J145224.23+275146.9 54230 2146 281 0.12679 17.18
195 J151948.79+262147.7 53885 2160 345 0.12070 16.69
196 J153018.11+553650.2 54525 2883  91 0.14085 19.11
197 J153044.32-020952.8 52411  925 214 0.13195 17.29
198 J160041.03-000438.1 51692  343 633 0.15599 16.67
199 J160552.80+540650.6 52055  621 501 0.14558 17.48
200 J161350.32+452945.3 52443  814 493 0.18059 17.91
201 J161548.68+051748.5 53886 1823 624 0.11651 17.15
202 J162037.96+081829.8 54585 2529  66 0.15062 17.22
203 J203848.55-001334.9 52885 1117 234 0.07847 16.15 J203848.43-001333.9 52435  981 215 0.07825 19.72 normal galaxy
204 J221500.16-072553.9 52203  719 403 0.21653 17.17
205 J233717.65+155037.3 52234  747 444 0.05655 14.92
206 J235032.46-011008.0 51788  386 122 0.14048 17.81 J235032.25-011007.5 52937 1538 124 0.14017 18.63 normal galaxy
207 J001550.07-010419.9 53732 1541  48 0.15253 18.42
208 J002550.66+003003.1 51782  391 386 0.06395 15.66 J002550.53+002959.3 52262  689 354 0.06355 16.69 normal galaxy
209 J031909.18-072505.1 51924  460 278 0.15634 16.98
210 J081455.54+385348.5 52254  759  89 0.20675 17.23 J081455.84+385349.0 52589  893 329 0.20815 17.91 normal galaxy
211 J082751.90+544648.1 53299 1782 594 0.13661 16.74
212 J082911.75+293222.6 52672 1207 633 0.09273 17.27 J082911.65+293220.0 52933 1268 342 0.09142 16.46 normal galaxy
213 J084053.01+383851.1 52317  828 158 0.12076 16.70
214 J085259.06+322250.7 52974 1271 381 0.07420 15.58
215 J085543.50+151236.8 53818 2431 151 0.10565 16.68
216 J090555.58+131625.7 53826 2434 125 0.17644 17.83
217 J093128.88+174913.6 53728 2360  18 0.15068 16.91
218 J094752.61+021215.1 51989  480 506 0.10014 16.53 J094752.76+021211.0 51908  481 352 0.10054 17.48 normal galaxy
219 J094911.76+090920.1 52757 1305  78 0.08273 15.86
220 J101016.76+403041.0 53033 1356 604 0.15141 16.85
221 J101940.51+220740.8 53741 2366 343 0.20807 17.66
222 J102536.44+371317.2 53432 1973 358 0.06087 16.39
223 J102610.15+415753.9 53002 1359 539 0.17325 17.15
224 J103634.63+541752.7 52368  906 284 0.13408 16.78
225 J104302.55+471237.9 52620  962 553 0.16031 16.49
226 J110536.40+625317.6 54498 2882  30 0.13349 16.46
227 J112121.34+182243.1 54175 2495  92 0.14065 15.86
228 J120207.31+041203.3 52375  841  59 0.13628 17.20 J120207.00+041205.0 52376  842 311 0.13564 17.36 normal galaxy
229 J120354.62+435458.2 53089 1369 105 0.10751 16.23
