RA,Dec,Name1,Name2,z1,z2,z1_type,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox,Coordinate_waveband,Coordinate_Source,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes
12:35:14.64,+03:41:08.1,123514.64+034108.1,123514.64+034108.1,0.7927,0.7927,spec,spec,12:35:14.64,+03:41:08.1,188.81099999999998,3.6855833333333337,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:35:50.26,+18:02:42.8,123550.26+180242.8,123550.26+180242.8,0.2535,0.2535,spec,spec,12:35:50.26,+18:02:42.8,188.95941666666667,18.045222222222225,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:36:58.17,+05:05:25.1,123658.17+050525.1,123658.17+050525.1,0.5407,0.5407,spec,spec,12:36:58.17,+05:05:25.1,189.24237499999998,5.090305555555555,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:40:54.50,+07:45:28.8,124054.50+074528.8,124054.50+074528.8,0.3298,0.3298,spec,spec,12:40:54.50,+07:45:28.8,190.2270833333333,7.758,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:43:34.94,+34:06:51.6,124334.94+340651.6,124334.94+340651.6,0.6641,0.6641,spec,spec,12:43:34.94,+34:06:51.6,190.89558333333332,34.114333333333335,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:43:55.79,-07:08:56.6,124355.79-070856.6,124355.79-070856.6,0.3942,0.3942,spec,spec,12:43:55.79,-07:08:56.6,190.9824583333333,-7.149055555555556,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:44:56.24,-01:39:33.8,124456.24-013933.8,124456.24-013933.8,0.4922,0.4922,spec,spec,12:44:56.24,-01:39:33.8,191.2343333333333,-1.6593888888888888,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:46:16.19,+46:55:52.8,124616.19+465552.8,124616.19+465552.8,0.4339,0.4339,spec,spec,12:46:16.19,+46:55:52.8,191.56745833333332,46.93133333333333,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:46:26.80,+51:08:02.8,124626.80+510802.8,124626.80+510802.8,0.3921,0.3921,spec,spec,12:46:26.80,+51:08:02.8,191.61166666666668,51.13411111111111,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:48:02.28,+47:57:20.4,124802.28+475720.4,124802.28+475720.4,0.4283,0.4283,spec,spec,12:48:02.28,+47:57:20.4,192.00949999999997,47.95566666666667,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:49:56.88,+04:13:29.6,124956.88+041329.6,124956.88+041329.6,0.7488,0.7488,spec,spec,12:49:56.88,+04:13:29.6,192.487,4.224888888888889,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:50:01.99,+17:53:02.3,125001.99+175302.3,125001.99+175302.3,0.7203,0.7203,spec,spec,12:50:01.99,+17:53:02.3,192.50829166666665,17.883972222222223,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:53:38.10,+32:34:50.9,125338.10+323450.9,125338.10+323450.9,0.5114,0.5114,spec,spec,12:53:38.10,+32:34:50.9,193.40874999999997,32.58080555555556,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
12:56:15.80,+43:53:12.7,125615.80+435312.7,125615.80+435312.7,0.7724,0.7724,spec,spec,12:56:15.80,+43:53:12.7,194.0658333333333,43.88686111111111,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
13:02:06.39,+63:01:24.8,130206.39+630124.8,130206.39+630124.8,0.3571,0.3571,spec,spec,13:02:06.39,+63:01:24.8,195.52662499999997,63.023555555555554,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
13:05:24.85,+22:19:13.8,130524.85+221913.8,130524.85+221913.8,0.4897,0.4897,spec,spec,13:05:24.85,+22:19:13.8,196.35354166666667,22.3205,,,,,J2000,Optical,SDSS,Binary AGN Candidate,-100.0,-100,-100,-100.0,-100,-100,3.0,0.0,Extreme Velocity Offsets / Radial Velocity Shifts,-99,Liu+2014,2014ApJ...789..140L,https://doi.org/10.1088/0004-637X/789/2/140, 
