,System Type,Literature Name,Selection Method,Confirmation Method,Name1,z1,z1_type,RA1,Dec1,Coordinate_waveband1,Coordinate_Source1,Equinox1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox2,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,dV,Sep,Sep(kpc),dV_rwp,Paper(s),BibCode(s),DOI(s),Notes
652,Dual AGN,,Double-Peaked Optical Spectroscopic Emission Lines,NIR Imaging / Optical Spectroscopy,J114642.47+511029.6,,spec,11:46:42.47,+51:10:29.6,,,,-100.0,-100.0,-100.0,J114642.47+511029.6,0.13,spec,-99,-99,,,,-100.0,-100.0,-100.0,284.0,2.84,,,Liu+2010a ; Shen+2011 ; Ge+2012 ; Liu+2010b ; Fu+2011 ; Fu+2012 ; Fu+2012 ; Liu+2013 ; Shangguan+2016 ; McGurk+2015,2010ApJ...708..427L ; 2011ApJ...735...48S ; 2012ApJS..201...31G ; 2010ApJ...715L..30L ; 2011ApJ...733..103F ; 2012ApJ...745...67F ; 2012ApJ...745...67F ; 2013ApJ...762..110L ; 2016ApJ...823...50S ; 2015ApJ...811...14M,https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi.org/10.1088/0004-637X/735/1/48 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.1088/2041-8205/715/1/L30 ; https://doi.org/10.1088/0004-637X/733/2/103 ; https://doi.org/10.1088/0004-637X/745/1/67 ; https://doi.org/10.1088/0004-637X/745/1/67 ; https://doi.org/10.1088/0004-637X/762/2/110 ; https://doi.org/10.3847/0004-637X/823/1/50 ; https://doi.org/10.1088/0004-637X/811/1/14,"NIR nuclei and double OIII emitting regions are spatially coincident. Angular separations quoted are the separations between the OIII components. Fu+2011 companions within 3 arcseconds, Fu+2011 argue the origin of the double-peaked lines is Extended narrow-line region Companion(s) within 3 arcseconds. Companion within 3 arcseconds.McGurk+ find emission peaks spatially coincident with two nuclei and consistent with the companion giving rise to the second peak."
653,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114713.60+234753.6,,spec,11:47:13.60,+23:47:53.6,,,,17.69,SDSS r-band,mag,J114713.60+234753.6,0.14877,spec,-99,-99,,,,17.69,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
654,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114743.69+014934.4,,spec,11:47:43.69,+01:49:34.4,,,,13.84,SDSS r-band,mag,J114743.69+014934.4,0.02853,spec,-99,-99,,,,13.84,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
655,Single AGN,,Double-Peaked Spectroscopic Emission Lines,-99,J114744.61+331339.5,,spec,11:47:44.61,+33:13:39.5,,,,-99.0,-99,-99,J114744.61+331339.5,0.847,spec,-99,-99,,,,-99.0,-99,-99,0.0,3,,,Barrows+2013 ; Comerford+2015,2013ApJ...769...95B ; 2015ApJ...806..219C,https://doi:10.1088/0004-637X/769/2/95 ; https://doi.org/10.1088/0004-637X/806/2/219,  Comerford+2015 conclude these are likely single AGNs.
656,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114755.90-030903.2,,spec,11:47:55.90,-03:09:03.2,,,,15.93,SDSS r-band,mag,J114755.90-030903.2,0.09203,spec,-99,-99,,,,15.93,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
657,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114839.29+182944.6,,spec,11:48:39.29,+18:29:44.6,,,,17.52,SDSS r-band,mag,J114839.29+182944.6,0.12559,spec,-99,-99,,,,17.52,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
658,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114840.14-021637.2,,spec,11:48:40.14,-02:16:37.2,,,,-100.0,-100.0,-100.0,J114840.14-021637.2,0.0848,spec,-99,-99,,,,-100.0,-100.0,-100.0,0.0,3.0,,,Wang+2009 ; Liu+2010a ; Ge+2012,2009ApJ...705L..76W ; 2010ApJ...708..427L ; 2012ApJS..201...31G,https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi:10.1088/0067-0049/201/2/31,
659,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114843.04+084721.5,,spec,11:48:43.04,+08:47:21.5,,,,17.72,SDSS r-band,mag,J114843.04+084721.5,0.18223,spec,-99,-99,,,,17.72,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
660,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114852.65+151415.8,,spec,11:48:52.65,+15:14:15.8,,,,-100.0,-100.0,-100.0,J114852.65+151415.8,0.113,spec,-99,-99,,,,-100.0,-100.0,-100.0,260.0,3.0,,,Smith+2010 ; Fu+2012 ; McGurk+2015 ; Song+2020 ,2010ApJ...716..866S ; 2012ApJ...745...67F ; 2015ApJ...811...14M ; 2020MNRAS.491.4023S ,https://doi.org/10.1088/0004-637X/716/1/866 ; https://doi.org/10.1088/0004-637X/745/1/67 ; https://doi.org/10.1088/0004-637X/811/1/14 ; https://doi.org/10.1093/mnras/stz3354, No companion within 3 arcseconds. No companion within 3 arcseconds. Song+2020 examined a subsample of the double-peaked objects in Smith+2010 but did not include a table specifying the objects. We include a reference to all of them for now. Song+ disfavor a binary hypothesis.
661,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J114908.49+144547.0,,spec,11:49:08.49,+14:45:47.0,,,,-100.0,-100.0,-100.0,J114908.49+144547.0,0.595,spec,-99,-99,,,,-100.0,-100.0,-100.0,200.0,3.0,,,Smith+2010 ; Fu+2012 ; McGurk+2015 ; Song+2020 ,2010ApJ...716..866S ; 2012ApJ...745...67F ; 2015ApJ...811...14M ; 2020MNRAS.491.4023S ,https://doi.org/10.1088/0004-637X/716/1/866 ; https://doi.org/10.1088/0004-637X/745/1/67 ; https://doi.org/10.1088/0004-637X/811/1/14 ; https://doi.org/10.1093/mnras/stz3354, No companion within 3 arcseconds. No companion within 3 arcseconds. Song+2020 examined a subsample of the double-peaked objects in Smith+2010 but did not include a table specifying the objects. We include a reference to all of them for now. Song+ disfavor a binary hypothesis.
662,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J115023.08+074813.6,,spec,11:50:23.08,+07:48:13.6,,,,17.13,SDSS r-band,mag,J115023.08+074813.6,0.16933,spec,-99,-99,,,,17.13,SDSS r-band,mag,0.0,3,,,Ge+2012,2012ApJS..201...31G,https://doi:10.1088/0067-0049/201/2/31,
663,Dual AGN Candidate,,Double-Peaked Optical Spectroscopic Emission Lines,-99,J115028.16+044141.8,,spec,11:50:28.16,+04:41:41.8,,,,-100.0,-100.0,-100.0,J115028.16+044141.8,0.0404,spec,-99,-99,,,,-100.0,-100.0,-100.0,282.0,0.19,,,Wang+2009 ; Liu+2010a ; Ge+2012 ; Comerford+2012,2009ApJ...705L..76W ; 2010ApJ...708..427L ; 2012ApJS..201...31G ; 2012ApJ...753...42C,https://doi.org/10.1088/0004-637X/705/1/L76 ; https://doi.org/10.1088/0004-637X/708/1/427 ; https://doi:10.1088/0067-0049/201/2/31 ; https://doi.org/10.1088/0004-637X/753/1/42, Comerford+ examined long slit spectra of this target. Two spatially distinct emission peaks observed.
