Name1,Name2,z1,z2,z1_type,z2_type,RA1,Dec1,RA1_deg,Dec1_deg,RA2,Dec2,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,dV,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes
J084119.42+171527.5,-99,1.75,-99,spec,-99,08:41:19.42,+17:15:27.5,130.33091666666667,17.257638888888888,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J151051.34-010906.3,-99,1.76,-99,spec,-99,15:10:51.34,-01:09:06.3,227.71391666666662,-1.1517499999999998,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J014209.72-002348.4,-99,1.35,-99,spec,-99,01:42:09.72,-00:23:48.4,25.540499999999994,-0.3967777777777778,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
J114924.77-010010.3,-99,1.13,-99,spec,-99,11:49:24.77,-01:00:10.3,177.35320833333333,-1.0028611111111112,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J033211.85+002430.8,-99,0.51,-99,spec,-99,03:32:11.85,+00:24:30.8,53.04937499999999,0.40855555555555556,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J230654.00-001605.6,-99,0.56,-99,spec,-99,23:06:54.00,-00:16:05.6,346.72499999999997,-0.2682222222222222,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J082012.62+431358.4,-99,1.07,-99,spec,-99,08:20:12.62,+43:13:58.4,125.05258333333333,43.232888888888894,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
J004403.47+151200.0,-99,1.78,-99,spec,-99,00:44:03.47,+15:12:00.0,11.014458333333332,15.2,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J003451.86-011125.7,-99,1.84,-99,spec,-99,00:34:51.86,-01:11:25.7,8.716083333333332,-1.1904722222222222,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
J020646.97+001800.6,-99,1.68,-99,spec,-99,02:06:46.97,+00:18:00.6,31.695708333333332,0.30016666666666664,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
J091621.10+012020.8,-99,2.0,-99,spec,-99,09:16:21.10,+01:20:20.8,139.08791666666667,1.3391111111111111,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J163359.76-004512.6,-99,1.24,-99,spec,-99,16:33:59.76,-00:45:12.6,248.499,-0.7535,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
J014415.12-002349.8,-99,1.71,-99,spec,-99,01:44:15.12,-00:23:49.8,26.063,-0.39716666666666667,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts / Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013 ; Wang+2017,2013ApJ...777...44J ; 2017ApJ...834..129W,https://doi.org/10.1088/0004-637X/777/1/44 ; https://doi.org/ 10.3847/1538-4357/834/2/129, 
J124502.76+380514.2,-99,1.05,-99,spec,-99,12:45:02.76,+38:05:14.2,191.26149999999998,38.08727777777778,-99,-99,-99,-99,J2000,Optical,SDSS,-99,-99,-99,Binary AGN Candidate / Binary SMBH Candidate,-100,-100,-100,-100,-100,-100,3,-99,Optical Spectroscopy / Fiber Optical Spectroscopy / Velocity Offset Broad Optical Spectroscopic Emission Lines / LOS Radial Velocity Shifts,-99,Ju+2013,2013ApJ...777...44J,https://doi.org/10.1088/0004-637X/777/1/44, 
