System Type,Equinox,Brightness1,Brightness_band1,Brightness_type1,Paper(s),BibCode(s),DOI(s),Notes,Name1,Name2,Selection Method,Confirmation Method,z1,z1_type,z2,z2_type,RA1,Dec1,RA2,Dec2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Brightness2,Brightness_band2,Brightness_type2,dV,Coordinate_waveband1,Coordinate_Source1,Equinox1,Sep
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0952+4059,J0952+4059,X-Shaped Radio Source,-99,0.469,SPEC,-99,-99,9:52:25.77,+40:59:35.5,9:52:25.77,+40:59:35.5,148.107375,40.99319444444445,148.107375,40.99319444444445,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J0956-0001,J0956-0001,X-Shaped Radio Source,-99,0.139,SPEC,-99,-99,9:56:40.77,-0:1:23.9,9:56:40.77,-0:1:23.9,149.169875,-0.023305555555555555,149.169875,-0.023305555555555555,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0957+1606,J0957+1606,X-Shaped Radio Source,-99,,,-99,-99,9:57:28.27,+16:6:53.0,9:57:28.27,+16:6:53.0,149.36779166666665,16.114722222222223,149.36779166666665,16.114722222222223,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0957+4847,J0957+4847,X-Shaped Radio Source,-99,,,-99,-99,9:57:53.17,+48:47:18.1,9:57:53.17,+48:47:18.1,149.47154166666664,48.78836111111111,149.47154166666664,48.78836111111111,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0958-0804,J0958-0804,X-Shaped Radio Source,-99,,,-99,-99,9:58:33.25,-8:4:11.4,9:58:33.25,-8:4:11.4,149.63854166666664,-8.069833333333333,149.63854166666664,-8.069833333333333,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J0959-0601,J0959-0601,X-Shaped Radio Source,-99,,,-99,-99,9:59:32.16,-6:1:36.3,9:59:32.16,-6:1:36.3,149.88399999999996,-6.02675,149.88399999999996,-6.02675,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,-99,-100.0,-100,-100,Proctor+2011,2011ApJS..194...31P,https://doi.org/10.1088/0067-0049/194/2/31,-99,J100149.9+284708,-99,X-Shaped Radio Source,-99,-99.0,-99,-99,-99,10:1:49.942,+28:47:8.14,10:1:49.942,+28:47:8.14,150.45809166666666,28.785594444444445,150.45809166666666,28.785594444444445,-100.0,-100,-100,-99,Radio,FIRST,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J1004+3506,J1004+3506,X-Shaped Radio Source,-99,0.611,SPEC/Q,-99,-99,10:4:8.95,+35:6:23.6,10:4:8.95,+35:6:23.6,151.03729166666665,35.10655555555556,151.03729166666665,35.10655555555556,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Recoil Candidate / Binary AGN Candidate,-99,16.3,r SDSS,asinh model mag,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J1005+1154,J1005+1154,X-Shaped Radio Source,-99,0.1656,-99,-99,-99,10:5:52.53,+11:54:37.0,10:5:52.53,+11:54:37.0,151.46887499999997,11.910277777777779,151.46887499999997,11.910277777777779,16.3,16.3,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Recoil Candidate / Binary AGN Candidate,-99,15.8,r SDSS,asinh model mag,Cheung+2007 ; Roberts+2018 ; Saripalli+2018 ; Saripalli+2018,2007AJ....133.2097C ; 2018ApJ...852...47R ; 2018ApJ...852...48S ; 2018ApJ...852...48S,https://doi.org/10.1086/513095 ; https://doi.org/10.3847/1538-4357/aa9c49 ; https://doi.org/10.3847/1538-4357/aa9c4b ; https://doi.org/10.3847/1538-4357/aa9c4b,  Saripalli+ reject this object for reasons listed in their Table 3.,J1008+0030,J1008+0030,X-Shaped Radio Source,-99,0.0977,-99,-99,-99,10:8:11.43,+0:30:0.0,10:8:11.43,+0:30:0.0,152.04762499999998,0.5,152.04762499999998,0.5,15.8,15.8,asinh model mag,-99,Optical,SDSS,J2000,-99.0
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J1009+0529,J1009+0529,X-Shaped Radio Source,-99,0.942,SPEC/Q,-99,-99,10:9:43.55,+5:29:53.9,10:9:43.55,+5:29:53.9,152.43145833333332,5.498305555555556,152.43145833333332,5.498305555555556,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J1010+5303,J1010+5303,X-Shaped Radio Source,-99,0.341,SPEC,-99,-99,10:10:28.07,+53:3:13.0,10:10:28.07,+53:3:13.0,152.61695833333332,53.05361111111111,152.61695833333332,53.05361111111111,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J1010+5931,J1010+5931,X-Shaped Radio Source,-99,0.743,PHOT,-99,-99,10:10:23.96,+59:31:59.8,10:10:23.96,+59:31:59.8,152.5998333333333,59.533277777777776,152.5998333333333,59.533277777777776,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019 ; Joshi+2019,2019ApJS..245...17Y ; 2019ApJ...887..266J,https://doi.org/10.3847/1538-4365/ab4811 ; https://doi.org/ 10.3847/1538-4357/ab536f, ,J1011-0607,J1011-0607,X-Shaped Radio Source,-99,,,-99,-99,10:11:34.8,-6:7:53.1,10:11:34.8,-6:7:53.1,152.89499999999998,-6.1314166666666665,152.89499999999998,-6.1314166666666665,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
Binary AGN Candidate / Recoil Candidate,,-100.0,-100,-100,Yang+2019,2019ApJS..245...17Y,https://doi.org/10.3847/1538-4365/ab4811, ,J1014-0004,J1014-0004,X-Shaped Radio Source,-99,0.605,PHOT,-99,-99,10:14:44.32,-0:4:17.3,10:14:44.32,-0:4:17.3,153.68466666666666,-0.07147222222222221,153.68466666666666,-0.07147222222222221,-100.0,-100,-100,-99,Radio,VLA / FIRST,J2000,
