Name1,z1,imag1,Name2,z2,imag2,theta,Com,z1_type,z2_type,RA1,Dec1,RA2,Dec2,RA1_deg,Dec1_deg,RA2_deg,Dec2_deg,Equinox1,Coordinate_waveband1,Coordinate_Source1,Equinox2,Coordinate_waveband2,Coordinate_Source2,System Type,Brightness1,Brightness_band1,Brightness_type1,Brightness2,Brightness_band2,Brightness_type2,Sep,Selection Method,Confirmation Method,Paper(s),BibCode(s),DOI(s),Notes,dV
SDSSJ135020.67+190337.8,1.261,18.4,SDSSJ135020.52+190340.2,-99.0,19.13,3.12,no lensing object,spec,-99,13:50:20.67,+19:03:37.8,13:50:20.52,+19:03:40.2,207.58612499999998,19.0605,207.58549999999997,19.06116666666667,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,3.12,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ135302.69+230259.8,1.542,18.74,SDSSJ135303.07+230309.8,-99.0,19.83,11.18,no lensing object,spec,-99,13:53:02.69,+23:02:59.8,13:53:03.07,+23:03:09.8,208.2612083333333,23.049944444444446,208.26279166666663,23.052722222222222,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,11.18,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ135455.03+072926.8,0.872,18.8,SDSSJ135455.24+072909.9,1.351,19.35,17.18,QSO pair,spec,spec,13:54:55.03,+07:29:26.8,13:54:55.24,+07:29:09.9,208.72929166666665,7.490777777777778,208.73016666666666,7.486083333333333,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,17.18,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-66967.45731784622
SDSSJ135530.93+195808.1,0.801,18.87,SDSSJ135531.07+195804.2,-99.0,19.27,4.31,no lensing object,spec,-99,13:55:30.93,+19:58:08.1,13:55:31.07,+19:58:04.2,208.87887499999997,19.968916666666665,208.8794583333333,19.96783333333333,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,4.31,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ140914.66+163054.4,1.223,18.84,SDSSJ140914.39+163058.6,0.303,17.96,5.78,QSO pair,spec,spec,14:09:14.66,+16:30:54.4,14:09:14.39,+16:30:58.6,212.3110833333333,16.51511111111111,212.30995833333333,16.516277777777777,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.78,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,146084.27273102436
SDSSJ141023.94+315953.5,1.181,18.85,SDSSJ141024.13+315952.5,-99.0,19.87,2.61,no lensing object,spec,-99,14:10:23.94,+31:59:53.5,14:10:24.13,+31:59:52.5,212.59974999999997,31.998194444444444,212.60054166666663,31.99791666666667,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,2.61,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ141118.48+083945.3,1.143,18.66,SDSSJ141118.83+083943.8,-99.0,18.36,5.37,no lensing object,spec,-99,14:11:18.48,+08:39:45.3,14:11:18.83,+08:39:43.8,212.82699999999997,8.662583333333334,212.82845833333332,8.662166666666668,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,5.37,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ141302.61+194938.0,1.54,18.55,SDSSJ141303.36+194940.2,-99.0,18.88,10.7,no lensing object,spec,-99,14:13:02.61,+19:49:38.0,14:13:03.36,+19:49:40.2,213.26087499999997,19.827222222222222,213.26399999999998,19.827833333333334,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,10.7,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
SDSSJ142054.41+160333.3,2.021,18.97,SDSSJ142054.91+160343.0,2.066,19.53,11.96,QSO pair,spec,spec,14:20:54.41,+16:03:33.3,14:20:54.91,+16:03:43.0,215.2267083333333,16.059250000000002,215.22879166666667,16.061944444444446,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,11.96,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-4420.655389056168
SDSSJ142630.23+252743.2,1.922,18.59,SDSSJ142629.27+252732.0,-99.0,18.41,17.22,no lensing object,spec,-99,14:26:30.23,+25:27:43.2,14:26:29.27,+25:27:32.0,216.6259583333333,25.462,216.6219583333333,25.45888888888889,J2000,Optical,SDSS,J2000,Optical,SDSS,Dual AGN Candidate,-100,-100,-100,-100,-100,-100,17.22,-99,-99,Inada+2012,2012AJ....143..119I,https://doi.org/10.1088/0004-6256/143/5/119,-99,-99.0
