13 56 07.50 +58 12 36.1  3.32  P145a  89.15
13 55 57.54 +58 13 18.0  3.371 P145b  89.15
11 52 10.43 +45 18 25.8  2.282 P146a 113.40
11 52 00.54 +45 17 41.4  2.379 P146b 113.40
15 09 25.64 +50 56 09.3  2.365 P147a 119.68
15 09 32.23 +50 57 51.5  2.343 P147b 119.68
16 43 30.13 +30 55 41.8  2.703 P148a 244.49
16 43 41.28 +30 58 59.8  2.559 P148b 244.49
09 16 11.02 +33 11 30.5  3.112 P149a 152.45
09 16 03.40 +33 09 31.8  3.153 P149b 152.45
11 06 11.11 +13 56 00.0  3.908 P150a 101.72
11 06 16.68 +13 54 58.6  3.846 P150b 101.72
08 15 14.28 +06 05 42.5  2.495 P151a  64.08
08 15 18.32 +06 06 04.3  2.529 P151b  64.08
16 23 23.68 +33 12 32.6  2.411 P152a 103.69
16 23 24.76 +33 10 49.8  2.585 P152b 103.69
11 43 16.98 +13 24 00.8  2.514 P153a 138.30
11 43 23.44 +13 25 42.0  2.515 P153b 138.30
10 40 04.02 +32 21 50.6  2.609 P154a 191.02
10 40 19.09 +32 21 56.4  2.649 P154b 191.02
11 16 10.68 +41 18 14.5  2.98  P155a  13.75
11 16 11.73 +41 18 21.5  2.971 P155b  13.75
