LQAC_315+016_001/002  0.0   0.0  18.708  2.12  2.12  --------I-KL- ------------M 156  24 315+016_001/315+016_002
LQAC_315+016_001/002  0.0   0.0  18.708  2.12  2.12  --------I-KL- ------------M 155  25 315+016_001/315+016_002
LQAC_205+028_009/010  0.0  19.63 18.847  0.78  0.78  --------IJKL- ------------M  95 104 205+028_009/205+028_010
LQAC_044+000_065/001 20.42 19.73 18.951  0.893 0.892 ----E-----KL- ------------M 107 102 044+000_065/044+000_001
LQAC_246+026_014/016  0.0  17.8  19.029  2.526 2.522 --------IJKL- ----E--H-JKLM  16   7 246+026_014/246+026_016
LQAC_240+018_015/016  0.0   0.0  19.228  2.31  2.31  --------I-KL- ------------M 157  13 240+018_015/240+018_016
LQAC_195+029_005/006 16.18  0.0  19.443  0.024 0.023 ------------M ------------M   3 159 195+029_005/195+029_006
LQAC_259+060_010/011 21.67 20.49 19.712  0.242 0.234 ------------M ------------M 131 135 259+060_010/259+060_011
LQAC_030+000_027/028 20.0  20.34 20.082  2.293 2.299 ------------M ----E-----KLM 119  15 030+000_027/030+000_028
LQAC_213+000_017/018 19.25 21.62 20.093  0.565 0.539 ----E-----KL- ------G---K-M  66 115 213+000_017/213+000_018
LQAC_205+005_008/009  0.0  17.28 20.292  0.266 0.266 --------I-KL- ----E----JKLM   8 130 205+005_008/205+005_009
LQAC_250+039_028/030  0.0  19.96 20.649  0.594 0.591 --------IJKL- ----E-----KLM 115 110 250+039_028/250+039_030
LQAC_329+000_016/017 21.28 20.52 20.809  2.55  2.545 ----E-----K-M ----E-----KLM 133   5 329+000_016/329+000_017
LQAC_150+046_004/005  0.0  20.07 20.937  0.08  0.086 ------------M ----E----JKLM 121 150 150+046_004/150+046_005
LQAC_179+028_004/005 18.25 21.97 20.999  0.349 0.327 ----E----JKL- ----E-----KL-  28 128 179+028_004/179+028_005
LQAC_169+013_002/003 21.59 20.02 21.242  3.029 3.009 ----E-----KL- ------------M 120   1 169+013_002/169+013_003
LQAC_146+042_004/005 17.56 18.78 21.268  0.074 0.075 ----E----JKLM ------------M  15 152 146+042_004/146+042_005
LQAC_318+006_004/005  0.0   0.0  21.304  0.398 0.398 --------IJKL- ------------M 158 124 318+006_004/318+006_005
LQAC_134+051_001/003 18.97 20.1  21.714  0.543 0.543 ----E----JKL- ----E-----KLM  51 117 134+051_001/134+051_003
LQAC_228+025_004/005  0.0  19.31 21.745  1.966 1.977 --------IJKL- ----E-----KLM  69  42 228+025_004/228+025_005
LQAC_153+009_006/007 19.99 20.13 21.878  2.291 2.292 ------------M ----E-----KL- 117  16 153+009_006/153+009_007
LQAC_230+056_004/005 19.86 20.03 22.059  1.58  1.57  ----E-----KL- ----E-----KL- 113  76 230+056_004/230+056_005
LQAC_194+000_020/021 17.42 18.94 22.175  1.26  1.284 ----E---IJKLM -----F----KLM  12  98 194+000_020/194+000_021
LQAC_250+039_019/020  0.0  19.81 22.842  2.381 2.382 --------IJKL- ----E-----KL- 112  11 250+039_019/250+039_020
LQAC_185+046_010/012  0.0   0.0  22.940  0.185 0.185 ------------M ------------M 159 138 185+046_010/185+046_012
LQAC_167+066_002/003 20.6  20.2  23.070  0.137 0.137 ------------M ------------M 123 142 167+066_002/167+066_003
LQAC_180+000_016/017 19.06 18.39 23.219  1.367 1.37  AB--EF----KLM --------I-KL-  36  89 180+000_016/180+000_017
LQAC_132+037_002/003 18.22  0.0  23.355  0.307 0.307 ----E----JKLM --------I-KL-  27 129 132+037_002/132+037_003
LQAC_009-000_046/048 21.8  20.91 23.408  1.786 1.783 ------G---KLM ------G---K-M 136  60 009-000_046/009-000_048
LQAC_131+044_019/020 21.1   0.0  23.775  1.1   1.1   ------------M --------IJKL- 137 100 131+044_019/131+044_020
LQAC_203-000_049/050 20.27 21.04 23.844  0.608 0.611 ------G----LM ------G---KLM 124 108 203-000_049/203-000_050
LQAC_202+031_012/013  0.0  17.46 23.917  0.241 0.242 --------IJKL- ----E----JKLM  14 134 202+031_012/202+031_013
LQAC_195+027_009/011 18.45  0.0  24.087  0.242 0.243 ----E----JKLM --------I-K--  38 133 195+027_009/195+027_011
LQAC_144+033_040/041 19.7  21.33 24.173  1.535 1.53  ----E-----KL- ----E-----KL- 103  81 144+033_040/144+033_041
LQAC_136+000_002/003 19.36 20.17 24.346  1.615 1.643 ----E-----KL- ----E-----KL-  73  73 136+000_002/136+000_003
LQAC_143+033_020/021 20.37 19.45 24.484  1.634 1.631 ----E-----KL- ----E-----KL-  78  72 143+033_020/143+033_021
LQAC_166+000_057/059 19.27 18.99 24.675  1.879 1.882 ----EF----KL- -----FG---KLM  52  51 166+000_057/166+000_059
LQAC_147+049_008/009  0.0  18.85 24.747  1.223 1.251 --------I-K-- ----E-----KLM  46  99 147+049_008/147+049_009
LQAC_240+049_003/004 23.18 18.65 25.461  0.244 0.246 ----E----JKLM ----E----JKLM  41 132 240+049_003/240+049_004
LQAC_201-000_010/011 20.48 21.41 25.816  1.34  1.358 ------G---KLM ------G---KLM 130  92 201-000_010/201-000_011
LQAC_144+049_004/005  0.0  19.21 26.902  1.321 1.315 --------IJKL- ----E-----KLM  65  94 144+049_004/144+049_005
LQAC_208+000_042/043 22.04 18.85 26.908  1.633 1.64  ------G---K-M -----F----KLM  45  71 208+000_042/208+000_043
LQAC_161+034_009/010  0.0  19.52 26.962  2.347 2.355 --------IJKL- ----E----JKLM  85  12 161+034_009/161+034_010
LQAC_173+008_005/006 19.4  19.76 27.101  1.526 1.524 ----E-----KL- ----E-----KL-  74  83 173+008_005/173+008_006
LQAC_170+013_010/011  0.0  19.54 28.262  1.94  1.947 --------IJKL- ----E-----KLM  89  46 170+013_010/170+013_011
LQAC_176-001_026/027 19.0  20.21 28.612  1.972 1.977 -----F----KLM -----F----KLM  53  41 176-001_026/176-001_027
LQAC_178-000_010/011 19.66 19.09 29.188  0.554 0.552 -----F----KLM ----E-----KL-  57 113 178-000_010/178-000_011
LQAC_246+026_019/020  0.0   0.0  29.349  2.183 2.183 --------IJKL- ------------M 160  18 246+026_019/246+026_020
LQAC_044-000_029/030 20.28 19.47 29.464  1.321 1.318 ----E-----KLM ----E---I-KLM  81  93 044-000_029/044-000_030
