044456.77-004846.4  71.236542  -0.812910 2.0617 20.411 0.068 20.212 0.025 20.109 0.027 19.638 0.026 19.355 0.069 0.069 0        0  125   7 2 550  416 52263  797 244
044456.92-000809.3  71.237189  -0.135926 2.3953 20.974 0.077 20.326 0.024 20.342 0.030 20.269 0.034 20.001 0.112 0.112 0        0 1752   0 3 337  366 52263  797 271
044458.12-010907.6  71.242181  -1.152118 1.0774 19.974 0.045 19.883 0.021 19.691 0.019 19.625 0.029 19.733 0.089 0.089 0        0  125   7 1 550  359 52263  797 242
044502.49-005623.1  71.260406  -0.939758 1.7902 20.357 0.050 20.039 0.023 19.981 0.022 19.701 0.027 19.595 0.081 0.081 0        0 1752   0 1 337  235 52263  797 248
044508.00+001051.7  71.283369   0.181044 2.2424 20.625 0.076 20.092 0.020 19.951 0.025 19.909 0.030 19.908 0.129 0.129 0        0  125   7 4 551  314 52263  797 383
044516.14+001831.9  71.317288   0.308872 0.6425 20.794 0.075 20.336 0.023 20.404 0.025 19.952 0.027 19.732 0.107 0.107 0        0 1752   0 4 337  367 52263  797 381
044534.87-001921.6  71.395315  -0.322685 1.2396 20.328 0.060 20.282 0.023 20.041 0.024 20.073 0.034 20.065 0.120 0.120 0        0  125   7 3 551  359 52263  797 227
044538.99-010138.4  71.412479  -1.027361 1.7914 20.080 0.042 20.013 0.022 20.023 0.024 19.726 0.032 19.705 0.090 0.090 0        0 1752   0 1 338  356 52263  797 258
044539.77-010901.6  71.415730  -1.150447 1.7907 20.364 0.068 20.391 0.027 20.424 0.031 20.145 0.042 19.851 0.103 0.103 0        0  125   7 1 552  209 52263  797 254
044546.56-010331.0  71.444017  -1.058623 1.8366 20.333 0.063 20.329 0.026 20.254 0.028 19.969 0.036 20.151 0.128 0.128 0        0  125   7 1 552  217 52263  797 249
044600.25-000520.9  71.501042  -0.089154 1.2569 20.449 0.054 20.268 0.022 20.053 0.021 19.951 0.029 19.805 0.092 0.092 0        0 1752   0 3 338  397 52263  797 431
044617.41+000301.9  71.572578   0.050554 0.7546 20.701 0.080 20.143 0.019 19.926 0.022 19.768 0.030 19.671 0.095 0.095 0        0  125   7 4 553  322 52263  797 432
044618.06-000034.9  71.575274  -0.009716 0.9160 20.590 0.059 20.398 0.029 20.196 0.026 20.277 0.036 20.438 0.158 0.158 0        0 1752   0 3 339  347 52263  797 440
044627.55-005024.2  71.614833  -0.840074 2.8500 20.372 0.052 19.504 0.020 19.388 0.017 19.344 0.019 19.313 0.062 0.062 0        0 1752   0 1 339  327 52263  797 215
044628.61+001509.3  71.619224   0.252606 2.8411 21.450 0.143 20.215 0.021 20.035 0.021 19.926 0.028 19.788 0.112 0.112 0        0 1752   0 4 339  374 52263  797 472
044635.59+010916.5  71.648315   1.154610 1.3315 20.157 0.051 20.063 0.020 19.811 0.020 19.828 0.032 19.753 0.098 0.098 0        0 1752   0 6 339  358 52263  797 368
044638.06-001654.5  71.658598  -0.281828 0.7753 20.848 0.088 20.337 0.025 20.208 0.029 20.311 0.043 20.062 0.109 0.109 0        0  125   7 3 553  290 52263  797 188
044653.93-005446.4  71.724736  -0.912905 3.1857 21.051 0.089 19.904 0.023 19.621 0.021 19.496 0.026 19.612 0.084 0.084 0        0 1752   0 1 340  316 52263  797 219
044654.05-010910.4  71.725217  -1.152913 0.5747 20.490 0.064 19.860 0.022 19.853 0.021 19.494 0.026 19.581 0.077 0.077 0        0  125   7 1 554  241 52263  797 206
044702.97+005432.2  71.762403   0.908951 1.5644 20.026 0.048 19.788 0.020 19.491 0.020 19.222 0.026 19.077 0.052 0.052 0        0  125   7 6 554  276 52263  797 418
044707.03+002911.6  71.779324   0.486580 1.5064 20.492 0.060 20.083 0.023 19.784 0.022 19.541 0.027 19.373 0.059 0.059 0        0  125   7 5 554  299 52263  797 470
044709.96-000705.5  71.791525  -0.118214 1.4880 19.969 0.039 19.878 0.022 19.754 0.018 19.568 0.024 19.801 0.093 0.093 0        0 1752   0 3 340  432 52263  797 475
044711.71+002413.8  71.798828   0.403841 2.5362 21.088 0.097 20.385 0.027 20.391 0.027 20.396 0.043 20.054 0.143 0.143 0        0 1752   0 4 340  432 52263  797 469
044719.68-000859.5  71.832004  -0.149867 2.5474 21.154 0.094 20.547 0.030 20.449 0.034 20.257 0.038 20.187 0.128 0.128 0        0 1752   0 3 341  366 52263  797 195
044731.14-004538.7  71.879782  -0.760764 2.4176 20.443 0.061 19.686 0.020 19.493 0.026 19.474 0.026 19.358 0.062 0.062 0        0  125   7 2 555  261 52263  797 122
044742.14-005455.4  71.925607  -0.915397 1.5398 20.039 0.038 19.997 0.021 19.831 0.023 19.656 0.031 19.755 0.091 0.091 0        0 1752   0 1 341  357 52263  797 126
044743.30-005753.8  71.930430  -0.964957 1.4346 19.947 0.039 19.768 0.018 19.757 0.022 19.654 0.031 19.815 0.097 0.097 0        0 1752   0 1 341  359 52263  797 128
044744.12-000324.9  71.933834  -0.056944 1.5785 20.390 0.055 19.985 0.023 19.673 0.026 19.477 0.024 19.431 0.067 0.067 0        0 1752   0 3 341  401 52263  797 498
044746.91-001644.8  71.945499  -0.279129 2.0348 19.833 0.040 19.811 0.021 19.820 0.024 19.637 0.026 19.557 0.073 0.073 0        0  125   7 3 555  314 52263  797 164
044756.13+002209.8  71.983901   0.369409 2.8658 21.341 0.119 20.306 0.022 20.030 0.024 20.010 0.031 19.983 0.134 0.134 0        0 1752   0 4 342  369 52263  797 490
044810.23+000825.4  72.042640   0.140400 1.5555 20.225 0.049 19.868 0.018 19.644 0.021 19.339 0.022 19.385 0.075 0.075 0        0  125   7 4 556  313 52263  797 491
044810.28-002620.7  72.042871  -0.439090 0.7805 20.211 0.059 19.688 0.022 19.668 0.017 19.657 0.023 19.398 0.066 0.066 0        0 1752   0 2 342  327 52263  797 174
044815.37-002143.7  72.064079  -0.362152 3.0884 23.446 0.679 20.353 0.025 19.992 0.025 19.859 0.029 19.814 0.096 0.096 0        0  125   7 3 556  524 52263  797 172
044815.84-011116.6  72.066001  -1.187958 1.2514 19.845 0.036 19.830 0.025 19.622 0.020 19.623 0.027 19.774 0.096 0.096 0        0  125   7 1 556  290 52263  797  98
044833.83-003152.8  72.140965  -0.531338 1.4452 20.420 0.063 20.341 0.024 20.086 0.024 19.952 0.028 20.283 0.143 0.143 0        0 1752   0 2 343  332 52263  797 163
044841.69-002539.1  72.173709  -0.427542 2.0491 20.188 0.053 19.901 0.019 19.847 0.020 19.628 0.023 19.563 0.078 0.078 0        0 1752   0 2 343  362 52263  797 160
044849.83-000439.8  72.207651  -0.077738 2.2287 20.381 0.053 19.900 0.020 19.723 0.020 19.633 0.028 19.505 0.079 0.079 0        0 1752   0 3 343  381 52263  797 520
044850.13+003838.7  72.208879   0.644108 0.8926 20.342 0.049 19.513 0.019 19.211 0.017 19.139 0.019 18.939 0.047 0.047 0        0 1752   0 5 343  293 52263  797 453
044854.71-011404.1  72.227967  -1.234496 0.9493 20.075 0.045 19.966 0.023 19.748 0.025 19.852 0.032 19.920 0.113 0.113 0        0  125   7 1 557  325 52263  797  83
044912.43+003556.1  72.301810   0.598941 1.0987 20.527 0.063 20.402 0.028 20.064 0.027 20.083 0.035 20.240 0.134 0.134 0        0  125   7 5 557  461 52263  797 460
044912.91+010730.5  72.303802   1.125166 0.9529 19.849 0.042 19.680 0.020 19.518 0.020 19.596 0.031 19.386 0.067 0.067 0        0 1752   0 6 344  329 52263  797 442
044913.08+005821.1  72.304538   0.972546 0.7616 20.102 0.051 19.689 0.019 19.537 0.022 19.640 0.029 19.269 0.064 0.064 0        0  125   7 6 557  335 52263  797 457
044915.09-002606.0  72.312892  -0.435001 0.8744 20.055 0.050 19.633 0.018 19.586 0.017 19.675 0.023 19.402 0.067 0.067 0        0 1752   0 2 344  386 52263  797 146
