Name,Selection Method,Confirmation Method,RAdeg,DEdeg,Num_comp,i_mag,Sep(as),Rank,Confirmation_flag,Notes
091453-265223,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",138.722422,-26.873106,2,17.80,2.4,C,2,similar colour p-l; companion has large pm
091746-160623,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",139.443706,-16.106479,4,18.41,2.3,C,2,similar colour p-l; companion has large pm; included in the Delchambre et al. (2019) Gaia clusters catalogue
092016-063144,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",140.064718,-6.529,2,18.16,2.7,C,2,similar colour p-l; companion has large pm
092438-012845,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",141.157105,-1.479089,2,17.99,3.0,C,2,similar colour p-l; includes SDSS z=2.446 QSO; companion has large pm
092718+211357,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",141.826656,21.232549,2,17.47,2.3,C,2,p-l; includes SDSS z=1.851 QSO; SQLS candidate; no lensing object; companion has large pm
094115+305810,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",145.314113,30.969479,2,19.29,2.3,C,2,similar colour; SQLS z=1.193 QSO + blue galaxy
094437-263355,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",146.154045,-26.565394,2,16.77,2.3,C,2,similar colour; includes Seyfert 1 galaxy at z=0.142 (Jones et al. 2009) companion has large pm
094903+280022,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",147.264552,28.006127,2,18.79,1.2,C,2,similar colour p-l; SQLS QSO + star
100450+773753,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",151.208619,77.63132,2,19.05,1.9,C,2,similar colour p-l; companion has large pm
102803-153028,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",157.011143,-15.507813,3,19.60,4.5,B,2,p-l + red inner component (large pm)
102813+171902,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",157.054777,17.317297,2,18.53,1.9,C,2,p-l; only one component has Gaia p and pm; large pm
104704-241459,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",161.765852,-24.249719,2,16.95,2.8,B,2,similar colour p-l (companion has large pm) + red inner component
105852-275715,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",164.715138,-27.954048,2,18.01,2.4,C,2,similar colour p-l; companion has large pm
111524-042218,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",168.848654,-4.371723,2,18.60,2.7,C,2,similar colour p-l; includes galaxy at z=0.209 (Colless et al. 2001); no Gaia p and pm; large AEN for companion
113431+111918,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",173.628607,11.321701,2,18.49,1.6,C,2,similar colour p-l; large companion pm; z=1.62 QSO + star (Ostrovski et al; in preparation)
114214-075619,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",175.556357,-7.93867,2,18.93,3.4,C,2,similar colour p-l; companion has large pm
115443-224432,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",178.680182,-22.742147,2,17.75,2.4,B,2,similar colour p-l; companion has large pm
115541+131105,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",178.919792,13.184774,2,17.52,2.4,B,2,similar colour p-l; companion has large pm
115957+644406,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",179.987136,64.735049,2,18.77,3.1,C,2,similar colour p-l; includes SDSS z=1.61 QSO; companion has large pm
123441+341000,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",188.672008,34.166556,2,18.29,2.2,C,2,similar colour p-l; includes SDSS z=1.429 QSO; SQLS candidate; companion has large pm
123559-023503,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",188.993809,-2.58423,2,17.78,3.0,C,2,similar colour p-l; SDSS z=2.062 QSO + star; SQLS candidate
130738+640252,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",196.907012,64.047899,2,18.17,3.5,C,2,similar colour p-l; companion has large pm
131425+181232,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",198.605024,18.208753,2,19.46,2.5,C,2,p-l; companion has large pm
132223+512017,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",200.595155,51.338029,2,18.29,2.7,C,2,similar colour p-l; includes SDSS z=1.772 QSO; SQLS candidate; companion has large pm
132405+282334,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",201.022027,28.392698,2,18.54,2.1,C,2,similar colour p-l; includes SDSS z=0.904 QSO; SQLS candidate; no lensing object; companion has large pm
132853+261501,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",202.222599,26.250248,2,18.91,2.6,C,2,similar colour p-l; SQLS candidate; SDSS z=1.522 QSO + star; companion has large pm
132916+414554,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",202.31656,41.765054,2,17.59,2.8,C,2,similar colour p-l; companion has large pm
133543-294239,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",203.927943,-29.710967,2,18.50,2.4,C,2,p-l; companion has large pm
134222-261001,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",205.593589,-26.166945,2,18.30,2.9,C,2,similar colour p-l; companion has large pm
134539-262819,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",206.411024,-26.471915,2,17.82,2.6,C,2,similar colour p-l; companion has large pm
134626+045245,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",206.609217,4.879294,2,18.73,2.7,C,2,similar colour p-l; companion has large pm
134941+011054,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",207.420114,1.181594,2,16.55,2.2,C,2,similar colour p-l; includes SDSS star
140610-250809,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",211.540001,-25.135907,2,17.88,2.9,B,2,similar colour p-l; companion has large pm
141349+475113,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",213.452222,47.853718,2,18.55,3.0,C,2,similar colour p-l; includes SDSS z=2.175 QSO; SQLS candidate; no lensing object; companion has large pm
141432-052951,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",213.631386,-5.49754,2,19.17,2.2,C,2,similar colour p-l; companion has large pm
142040+122507,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",215.16569,12.418669,2,18.31,3.1,C,2,similar colour p-l; includes SDSS z=2.252 QSO; companion has large pm
142402+710911,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",216.008966,71.152985,2,18.70,2.9,C,2,similar colour p-l; companion has large pm
142609-210327,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",216.538323,-21.057381,2,19.44,2.8,C,2,similar colour p-l; companion has large pm
143153-094341,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",217.972653,-9.727974,3,18.56,5.8,B,2,p-l (companion has large pm) + red inner component
