|plate|fiber|  mjd|     z|  amp1|      vel1|  sig1|     amp2|      vel2|  sig2|  amp3|      vel3|  sig3|  amp4|  vel4|  sig4|  fwhm|  fwqm|    w50|    w80|    w90|     relasym|  r9050|  dp|
| long| long| long|double|double|    double|double|   double|    double|double|double|    double|double|double|double|double|double|double| double| double| double|      double| double|long|
|     |     |     |      |      |          |      |         |          |      |      |          |      |      |      |      |      |      |       |       |       |            |       |    |
| null| null| null|  null|  null|      null|  null|     null|      null|  null|  null|      null|  null|  null|  null|  null|  null|  null|   null|   null|   null|        null|   null|null|
  3689   278 55180 0.6864 0.6809     -316.9  669.4      7.23     -86.71  219.7    0.0       -0.0    0.1    0.0   -0.0    0.1  546.3  793.8   360.7   769.1  1191.5    -0.210239  3.3033    0 
  3689   921 55180 0.6036  1.226    -1335.0 1190.0     5.999      230.9  98.47  6.476      126.9  713.1    0.0    0.0    0.1  714.5 1952.1  1087.8  2465.2  3422.0    -0.316002  3.1458    0 
  3691   533 55274 0.4527  16.86     -13.89  193.3     8.698      158.0  102.6   2.06      -75.1  534.0    0.0    0.0    0.1  490.2  689.8   314.2   621.8   893.0    -0.158768 2.84214    0 
  3692   169 55186 0.4554  15.64     -8.081  172.7     6.397     -287.8  106.0  3.988       5.18  55.34    0.0   -0.0    0.1  464.1  652.3  271.01   502.3   628.1   -0.0424773 2.31763    0 
  3692   227 55186 0.5472  1.029      300.7  793.9     5.308      106.7  166.4    0.0        0.0    0.1    0.0    0.0    0.1  442.9  681.2  423.35  1299.3  1998.5     0.162672 4.72068    0 
  3692   583 55186 0.5315   15.7     -12.59  165.4       0.0       -0.0    0.1    0.0       -0.0    0.1    0.0   -0.0    0.1  389.5  550.8  223.04   423.8   544.0 -3.67647e-05 2.43902    0 
  3694   658 55209 0.6026  18.58     -144.6  96.62     47.22      85.72  98.19  3.703      2.629  267.8    0.0    0.0    0.1  331.6  503.6  214.96   404.7   514.5    -0.152381 2.39347    0 
  3695   695 55212 0.4199  28.51     -121.0  166.2     39.19      175.3  111.6  25.69     -89.69  319.2    0.0   -0.0    0.1  632.7  842.8   372.2   669.1   861.5    -0.137713 2.31462    1 
  3696   339 55277  0.436  7.148     -145.8  94.29     10.68      128.6  113.6  2.739     -63.74  299.0    0.0    0.0    0.1  511.0  650.6   300.4   524.8   686.3    -0.121754 2.28462    2 
  3696   599 55277 0.3984  31.56      47.47  409.7      64.9     -41.24  103.5 0.9903    -1236.0  239.3    0.0   -0.0    0.1  323.9  661.8   340.4   869.4  1226.2    0.0554233 3.60223    0 
  3701    85 55540 0.4389  5.722     -28.62  356.8     49.91     -4.609  161.7    0.0       -0.0    0.1    0.0   -0.0    0.1  403.3  583.4   248.5   494.0   673.0   -0.0205706 2.70825    0 
  3701   295 55540  0.593  6.621     -89.01  408.7     8.201      42.22  208.8    0.0       -0.0    0.1    0.0   -0.0    0.1  652.5 1019.6   427.3   870.3  1164.2    -0.104346 2.72455    0 
  3735   813 55209  0.528  16.09     -148.5  101.1     12.12      97.91  106.1  2.093     -12.58  342.8    0.0   -0.0    0.1  467.8  597.1   271.7   479.2   622.0    0.0794534 2.28929    2 
  3736   193 55214 0.5803  5.386      169.0  632.2     4.308     -198.5  188.7  25.86      161.2  188.6    0.0    0.0    0.1  550.5  876.4  408.55   936.1  1425.1    0.0365588 3.48819    0 
  3744   409 55209 0.5582  8.337     -58.96  248.7      9.36      9.823  23.69  3.249      158.3   57.9    0.0   -0.0    0.1  215.5  600.9   312.2   593.4   774.0    -0.125271 2.47918    0 
  3744   505 55209 0.5264  7.223     -209.7  546.5     11.77      62.33  154.0    0.0       -0.0    0.1    0.0   -0.0    0.1  514.4 1153.9   563.0  1172.0  1589.6    -0.206266 2.82345    0 
