133432.34+171147.0 0.2650 17.01 0.075 -23.64 2007/02/23 S   3004 37 3010 7290
133432.34+171147.0 0.2650 17.01 0.075 -23.64 2010/03/14 M   1800 18 2549 3802
133432.34+171147.0 0.2650 17.01 0.075 -23.64 2010/03/20 K   3000 35 3885 6184
134617.54+622045.4 0.1165 16.97 0.057 -21.68 2001/06/19 S   2702 29 3404 8259
134617.54+622045.4 0.1165 16.97 0.057 -21.68 2010/03/21 K   3600 32 4400 7007
140007.29+405357.6 0.1677 17.77 0.044 -21.72 2004/02/26 S   3600 32 3252 7897
140251.19+263117.5 0.1877 16.90 0.053 -22.87 2006/04/27 S   3200 40 3202 7786
140251.19+263117.5 0.1877 16.90 0.053 -22.87 2010/03/20 K   3000 43 4138 6587
140700.40+282714.6 0.0767 15.81 0.061 -21.87 2006/02/27 S   2250 75 3530 8588
140700.40+282714.6 0.0767 15.81 0.061 -21.87 2010/03/20 K    900 21 4564 7267
141213.61+021202.1 0.2952 18.11 0.147 -22.88 2001/03/25 S   2702 10 2933 7120
141300.53+401624.5 0.3632 18.25 0.023 -23.15 2003/07/03 S   2100  9 2785 6765
141300.53+401624.5 0.3632 18.25 0.023 -23.15 2010/06/09 M   5400 10 2851 5543
143123.52+392501.4 0.1606 17.76 0.033 -21.63 2003/06/07 S   2220 22 3270 7945
143123.52+392501.4 0.1606 17.76 0.033 -21.63 2010/03/21 K   6300 29 4234 6741
143455.31+572345.2 0.1756 17.24 0.036 -22.36 2002/06/16 S   2702 26 3233 7844
143455.31+572345.2 0.1756 17.24 0.036 -22.36 2010/03/20 K   3600 13 4180 6654
151132.53+100953.1 0.2813 17.49 0.130 -23.36 2006/04/25 S   6000 28 2968 7197
151132.53+100953.1 0.2813 17.49 0.130 -23.36 2010/05/12 Pb  3000 30 2474 4382
151132.53+100953.1 0.2813 17.49 0.130 -23.36 2010/05/12 Pr  3000 28 4726 5773
151443.07+365050.4 0.3711 16.68 0.072 -24.81 2004/03/19 S   2413 45 2766 6726
151443.07+365050.4 0.3711 16.68 0.072 -24.81 2010/05/12 Pb  3000 61 2312 4094
151443.07+365050.4 0.3711 16.68 0.072 -24.81 2010/05/12 Pr  3000 55 4418 5396
152316.31-004150.4 0.4447 18.31 0.314 -23.90 2000/05/09 S   4500 28 2625 6402
152316.31-004150.4 0.4447 18.31 0.314 -23.90 2010/05/14 Pb  3600 32 2194 3886
152316.31-004150.4 0.4447 18.31 0.314 -23.90 2010/05/14 Pr  3600 35 4416 5345
152939.29+203906.9 0.1504 17.05 0.228 -22.37 2007/04/17 S   3901 21 3304 8016
152939.29+203906.9 0.1504 17.05 0.228 -22.37 2010/03/10 K   3000 11 4276 6803
152939.29+203906.9 0.1504 17.05 0.228 -22.37 2010/06/08 M   5400 34 3385 6574
152942.20+350851.2 0.2877 18.50 0.079 -22.35 2003/06/24 S   2460 10 2948 7161
152942.20+350851.2 0.2877 18.50 0.079 -22.35 2010/05/12 Pb  3000 13 2461 4360
152942.20+350851.2 0.2877 18.50 0.079 -22.35 2010/05/12 Pr  3000 13 4703 5745
153434.47+514941.0 0.3569 18.04 0.041 -23.32 2002/04/14 S   3602 26 2799 6796
153434.47+514941.0 0.3569 18.04 0.041 -23.32 2010/05/12 Pb  3000 19 2336 4137
153434.47+514941.0 0.3569 18.04 0.041 -23.32 2010/05/12 Pr  3000 24 4464 5452
153636.22+044127.0 0.3889 17.07 0.170 -24.64 2008/04/07 S   4806 50 2737 6639
153636.22+044127.0 0.3889 17.07 0.170 -24.64 2010/03/14 M   1800 16 2321 3462
153636.22+044127.0 0.3889 17.07 0.170 -24.64 2010/03/20 K   3000 44 3539 5633
153636.22+044127.0 0.3889 17.07 0.170 -24.64 2010/05/13 Pb  3000 36 2282 4042
153636.22+044127.0 0.3889 17.07 0.170 -24.64 2010/05/13 Pr  3000 49 4360 5325
153644.90+141229.7 0.3974 17.51 0.150 -24.24 2007/06/14 S   5105 34 2722 6599
153644.90+141229.7 0.3974 17.51 0.150 -24.24 2010/05/14 Pb  1800 47 2269 4018
153644.90+141229.7 0.3974 17.51 0.150 -24.24 2010/05/14 Pr  1800 34 4566 5527
154340.74+112801.3 0.4214 16.64 0.144 -25.25 2007/05/20 S   3003 38 2676 6488
154340.74+112801.3 0.4214 16.64 0.144 -25.25 2010/05/14 Pb   900 57 2231 3951
154340.74+112801.3 0.4214 16.64 0.144 -25.25 2010/05/14 Pr   900 27 4489 5434
154637.12+122832.5 0.3995 19.23 0.152 -22.53 2008/04/14 S   3505 12 2716 6588
155654.47+253233.5 0.1645 18.04 0.216 -21.58 2005/06/02 S   4400 24 3259 7919
155654.47+253233.5 0.1645 18.04 0.216 -21.58 2010/05/13 H2  1800 38 3680 6244
160243.91+174503.9 0.3565 16.71 0.138 -24.74 2005/07/05 S   4200 68 2799 6798
160243.91+174503.9 0.3565 16.71 0.138 -24.74 2010/05/12 Pb  2100 21 2337 4139
160243.91+174503.9 0.3565 16.71 0.138 -24.74 2010/05/12 Pr  2100 31 4464 5453
160536.63+134838.5 0.4407 18.06 0.165 -23.97 2008/04/12 S   3726 12 2638 6401
160536.63+134838.5 0.4407 18.06 0.165 -23.97 2010/05/14 Pb  3000 18 2201 3898
160536.63+134838.5 0.4407 18.06 0.165 -23.97 2010/05/14 Pr  3000 16 4430 5361
161911.24+501109.2 0.2345 17.47 0.067 -22.87 2008/03/01 S   4502 35 3079 7469
161911.24+501109.2 0.2345 17.47 0.067 -22.87 2010/06/09 M   5400 56 3147 6119
162914.09+151415.3 0.3124 17.43 0.209 -23.76 2006/05/25 S   4300 33 2898 7026
162914.09+151415.3 0.3124 17.43 0.209 -23.76 2010/05/12 Pb  3000 22 2415 4277
162914.09+151415.3 0.3124 17.43 0.209 -23.76 2010/05/12 Pr  3000 23 4614 5636
163020.77+375656.4 0.3945 17.90 0.033 -23.71 2003/05/31 S   1800 20 2723 6613
163020.77+375656.4 0.3945 17.90 0.033 -23.71 2010/05/13 Pb  3000 44 2273 4027
163020.77+375656.4 0.3945 17.90 0.033 -23.71 2010/05/13 Pr  3000 24 4344 5305
165118.61+400124.8 0.3573 17.21 0.062 -24.17 2001/05/21 S   4501 54 2798 6794
165118.61+400124.8 0.3573 17.21 0.062 -24.17 2010/05/12 Pb  2400 24 2335 4136
165118.61+400124.8 0.3573 17.21 0.062 -24.17 2010/05/12 Pr  2400 26 4462 5450
165255.90+312343.8 0.5928 17.88 0.100 -24.86 2003/05/31 S   4800  9 2383 5789
165255.90+312343.8 0.5928 17.88 0.100 -24.86 2010/06/08 M   5400 12 2444 4747
170341.82+383944.7 0.5542 18.96 0.134 -23.65 2001/06/11 S   3902 16 2446 5933
171448.50+332738.2 0.1802 16.84 0.053 -22.83 2008/05/05 S   5404 40 3223 7813
171448.50+332738.2 0.1802 16.84 0.053 -22.83 2010/03/21 K   3000 32 4163 6629
172711.81+632241.8 0.2176 17.07 0.102 -23.11 2000/09/02 S   3600 17 3111 7570
172711.81+632241.8 0.2176 17.07 0.102 -23.11 2010/03/22 K   7200  9 4035 6425
172711.81+632241.8 0.2176 17.07 0.102 -23.11 2010/06/09 M   5400 51 3190 6202
180545.11+225137.8 0.3856 17.69 0.344 -24.18 2005/06/13 S   3900 40 2738 6655
180545.11+225137.8 0.3856 17.69 0.344 -24.18 2010/05/13 Pb  3000 10 2287 4052
180545.11+225137.8 0.3856 17.69 0.344 -24.18 2010/05/13 Pr  3000  7 4371 5338
180545.11+225137.8 0.3856 17.69 0.344 -24.18 2010/05/14 Pb  3000 44 2288 4052
180545.11+225137.8 0.3856 17.69 0.344 -24.18 2010/05/14 Pr  3000 42 4606 5574
